Name,Tot. Statements,Tot. Branches,Deployed,Avg. Test Case Length,Branches Covered,Generations,Blockchain Time,Offchain Time,Total Time,Branch %
TestDateTime,160,252,1,2.1125,240.0,101,21927.345829,13384.809018999997,35312.154848,0.9523809523809523
TestDateTime,160,252,1,2.2,240.0,101,21319.607499,13090.001367,34409.608866,0.9523809523809523
FundRaising,23,21,0,6.571428571428571,21.0,1,58.397843,18.738314999999993,77.136158,1.0
MultiSigWallet (2),59,83,0,7.144736842105263,76.0,101,7686.469515,1992.3303079999996,9678.799823,0.9156626506024096
LotteryFor10,45,44,1,4.395348837209302,43.0,101,9008.01372,2401.8247569999985,11409.838477,0.9772727272727273
Gift_1_ETH,18,18,1,2.0,14.0,101,7765.492193,1708.9788900000003,9474.471083,0.7777777777777778
EtherBank,13,17,0,2.7142857142857144,14.0,101,1701.353811,232.84297000000015,1934.196781,0.8235294117647058
LotteryMultipleWinners,31,45,0,8.068181818181818,44.0,101,7515.51404,1997.0379740000008,9512.552014,0.9777777777777777
Greeter,15,81,0,9.271604938271604,81.0,1,110.820244,52.87868499999999,163.698929,1.0
GuessTheNumberChallenge,6,8,0,26.0,8.0,1,22.179942,10.4301,32.610042,1.0
IdentityManager,49,90,1,3.3636363636363638,55.0,101,8598.066563,2708.3340900000003,11306.400653,0.6111111111111112
AddressBook,19,54,0,7.925925925925926,54.0,4,748.408176,301.352125,1049.760301,1.0
AddressBook,19,54,0,10.796296296296296,54.0,2,356.672993,147.88561999999996,504.558613,1.0
IdentityManager,49,90,1,2.9272727272727272,55.0,101,8443.337068,2688.0481229999987,11131.385191,0.6111111111111112
EIP20StandardToken,24,13,1,6.230769230769231,13.0,1,83.528173,28.61555100000001,112.143724,1.0
AddressBook,19,54,0,11.222222222222221,54.0,2,439.516173,189.23328400000003,628.749457,1.0
Greeter,15,81,0,9.580246913580247,81.0,1,114.477232,52.93843,167.415662,1.0
EtherBank,13,17,0,2.7142857142857144,14.0,101,1712.728029,226.6865409999998,1939.41457,0.8235294117647058
LotteryFor10,45,44,1,4.813953488372093,43.0,101,9100.519267,2424.3935490000003,11524.912816,0.9772727272727273
Gift_1_ETH,18,18,1,2.0714285714285716,14.0,101,7816.619345,1645.9653289999997,9462.584674,0.7777777777777778
GuessTheNumberChallenge,6,8,0,4.375,8.0,1,33.558455,12.390566999999997,45.949022,1.0
MultiSigWallet (2),59,83,0,6.368421052631579,76.0,101,7851.225163,2037.4538189999994,9888.678982,0.9156626506024096
TestDateTime,160,252,1,2.1,240.0,101,21994.559402,13423.469462000001,35418.028864,0.9523809523809523
SecureAuction,11,6,1,4.0,6.0,1,67.402575,15.942643000000004,83.345218,1.0
BasicToken,11,8,0,5.75,8.0,1,71.897877,21.725812000000005,93.623689,1.0
BasicToken,11,8,0,3.0,8.0,1,72.201746,22.824602,95.026348,1.0
LotteryFor10,45,44,1,4.651162790697675,43.0,101,8935.203038,2408.993292000001,11344.19633,0.9772727272727273
SecureAuction,11,6,1,2.5,6.0,1,66.920195,15.364863,82.285058,1.0
TestDateTime,160,252,1,2.1333333333333333,240.0,101,21570.739185,13215.970174000002,34786.709359,0.9523809523809523
MultiSigWallet (2),59,83,0,6.776315789473684,76.0,101,7873.545206,2052.925102,9926.470308,0.9156626506024096
GuessTheNumberChallenge,6,8,0,17.875,8.0,1,23.95115,10.630945000000004,34.582095,1.0
LotteryFor10,45,44,1,4.767441860465116,43.0,101,8904.664004,2354.7192840000007,11259.383288,0.9772727272727273
EtherBank,13,17,0,2.4285714285714284,14.0,101,1718.410014,229.55109100000004,1947.961105,0.8235294117647058
Greeter,15,81,0,8.753086419753087,81.0,1,122.042599,58.332685999999995,180.375285,1.0
GuardCheck,10,14,0,5.714285714285714,14.0,1,69.156222,14.350347,83.506569,1.0
EIP20StandardToken,24,13,1,6.461538461538462,13.0,1,87.151593,27.96819099999999,115.119784,1.0
IdentityManager,49,90,1,3.109090909090909,55.0,101,8482.114904,2664.4413239999994,11146.556228,0.6111111111111112
IdentityManager,49,90,1,3.6363636363636362,55.0,101,8748.781191,2790.6613450000004,11539.442536,0.6111111111111112
AddressBook,19,54,0,8.592592592592593,54.0,2,388.695867,157.97295299999996,546.66882,1.0
FixedSupplyToken,39,22,1,5.0,22.0,3,386.147582,114.04884800000002,500.19643,1.0
MultiSigWallet (1),56,70,0,8.171875,63.0,101,7647.420337,2134.641219000001,9782.061556,0.9
MyAdvancedToken,53,3,1,2.0,3.0,1,96.493499,41.53575199999999,138.029251,1.0
theRun,62,83,1,2.1176470588235294,34.0,101,7543.684289,1851.764991000001,9395.44928,0.40963855421686746
Rubixi,56,102,1,3.2753623188405796,69.0,101,9122.496033,3816.0662060000013,12938.562239,0.6764705882352942
EzToken,31,11,1,3.727272727272727,11.0,1,98.875789,34.32713900000002,133.202928,1.0
Randomness,22,17,0,2.4375,16.0,101,7419.071751,1467.850943999999,8886.922695,0.9411764705882353
BadAuction,7,7,0,2.5714285714285716,7.0,1,75.317132,13.167650999999992,88.484783,1.0
Reentrance,9,14,1,2.0,13.0,101,7860.692056,1614.275721,9474.967777,0.9285714285714286
Greeter2,13,60,0,6.766666666666667,60.0,1,129.592491,57.316993,186.909484,1.0
DosAuction,7,7,1,5.285714285714286,7.0,1,66.574425,10.604003999999989,77.178429,1.0
Prover,27,17,1,4.529411764705882,17.0,1,142.496608,68.174938,210.671546,1.0
Prover,27,17,1,3.8823529411764706,17.0,1,121.42126,52.732973,174.154233,1.0
DosAuction,7,7,1,3.4285714285714284,7.0,1,60.299971,10.887214,71.187185,1.0
Greeter2,13,60,0,9.133333333333333,60.0,1,131.907692,62.982225,194.889917,1.0
BadAuction,7,7,0,2.4285714285714284,7.0,1,67.563599,13.159873000000005,80.723472,1.0
BasicToken,11,8,0,2.125,8.0,1,79.412854,25.23259300000001,104.645447,1.0
EzToken,31,11,1,4.363636363636363,11.0,1,107.814428,39.01997300000001,146.834401,1.0
MyAdvancedToken,53,3,1,2.3333333333333335,3.0,1,103.315674,40.43605099999999,143.751725,1.0
theRun,62,83,1,2.176470588235294,34.0,101,7377.712549,1808.9564119999995,9186.668961,0.40963855421686746
MultiSigWallet (1),56,70,0,7.75,63.0,101,7543.940927,2092.930493,9636.87142,0.9
